target_name	ce	ir	alt3	alt5	alt_end
LAMTOR5	1.0	0.0	0.0	0.0	0.0
LAMTOR	1.0	0.0	0.0	0.0	0.0
JAB	1.0	0.0	0.0	0.0	0.0
Inhibitor_I29	1.0	0.0	0.0	0.0	0.0
HpcH_HpaI	1.0	0.0	0.0	0.0	0.0
GTP_EFTU	1.0	0.0	0.0	0.0	0.0
GCN5L1	1.0	0.0	0.0	0.0	0.0
Endomucin	1.0	0.0	0.0	0.0	0.0
ETC_C1_NDUFA5	1.0	0.0	0.0	0.0	0.0
ER	1.0	0.0	0.0	0.0	0.0
EF-hand_7	1.0	0.0	0.0	0.0	0.0
E1_DerP2_DerF2	1.0	0.0	0.0	0.0	0.0
DUF4735	1.0	0.0	0.0	0.0	0.0
DUF2464	1.0	0.0	0.0	0.0	0.0
Cyt-b5	1.0	0.0	0.0	0.0	0.0
Cullin_binding	1.0	0.0	0.0	0.0	0.0
Cox20	1.0	0.0	0.0	0.0	0.0
Cornichon	1.0	0.0	0.0	0.0	0.0
Complex1_49kDa	1.0	0.0	0.0	0.0	0.0
Claudin_2	1.0	0.0	0.0	0.0	0.0
COMMD1_N	1.0	0.0	0.0	0.0	0.0
CLP_protease	1.0	0.0	0.0	0.0	0.0
CD20	1.0	0.0	0.0	0.0	0.0
BST2	1.0	0.0	0.0	0.0	0.0
BCNT	1.0	0.0	0.0	0.0	0.0
Aldo_ket_red	1.0	0.0	0.0	0.0	0.0
Aldedh	1.0	0.0	0.0	0.0	0.0
AhpC-TSA_2	1.0	0.0	0.0	0.0	0.0
AIF-1	1.0	0.0	0.0	0.0	0.0
ADK	1.0	0.0	0.0	0.0	0.0
2Fe-2S_thioredx	1.0	0.0	0.0	0.0	0.0
4HBT	1.0	0.0	0.0	0.0	0.0
DUF938	0.0	0.25	0.0	0.0	0.75
zf-ANAPC11	0.0	0.0	0.0	0.0	1.0
ubiquitin	0.0	0.0	0.0	0.0	1.0
UcrQ	0.0	0.0	0.0	0.0	1.0
UPAR_LY6	0.0	0.0	0.0	0.0	1.0
Trypsin	0.0	0.0	0.0	0.0	1.0
Trm112p	0.0	0.0	0.0	0.0	1.0
TUSC2	0.0	0.0	0.0	0.0	1.0
Spin-Ssty	0.0	0.0	0.0	0.0	1.0
Snf7	0.0	0.0	0.0	0.0	1.0
SapA	0.0	0.0	0.0	0.0	1.0
START	0.0	0.0	0.0	0.0	1.0
SPC25	0.0	0.0	0.0	0.0	1.0
SAP	0.0	0.0	0.0	0.0	1.0
Ribosomal_S8e	0.0	0.0	0.0	0.0	1.0
Ribosomal_S3Ae	0.0	0.0	0.0	0.0	1.0
Ribosomal_S21	0.0	0.0	0.0	0.0	1.0
Ribosomal_S13_N	0.0	0.0	0.0	0.0	1.0
Ribosomal_L7Ae	0.0	0.0	0.0	0.0	1.0
Ribosomal_L5	0.0	0.0	0.0	0.0	1.0
Ribosomal_L3	0.0	0.0	0.0	0.0	1.0
Ribosomal_L23	0.0	0.0	0.0	0.0	1.0
Ribosomal_L21p	0.0	0.0	0.0	0.0	1.0
Ribosomal_L14	0.0	0.0	0.0	0.0	1.0
Ribosomal_L13e	0.0	0.0	0.0	0.0	1.0
RNase_P-MRP_p29	0.0	0.0	0.0	0.0	1.0
RNase_H2_suC	0.0	0.0	0.0	0.0	1.0
Pex2_Pex12	0.0	0.0	0.0	0.0	1.0
PAC4	0.0	0.0	0.0	0.0	1.0
L51_S25_CI-B8	0.0	0.0	0.0	0.0	1.0
IFT20	0.0	0.0	0.0	0.0	1.0
Gemin7	0.0	0.0	0.0	0.0	1.0
Gal-bind_lectin	0.0	0.0	0.0	0.0	1.0
GSHPx	0.0	0.0	0.0	0.0	1.0
FUT8_N_cat	0.0	0.0	0.0	0.0	1.0
Endosulfine	0.0	0.0	0.0	0.0	1.0
Dynein_light	0.0	0.0	0.0	0.0	1.0
DUF4512	0.0	0.0	0.0	0.0	1.0
DEAD	0.0	0.0	0.0	0.0	1.0
CSN8_PSD8_EIF3K	0.0	0.0	0.0	0.0	1.0
COX2_TM	0.0	0.0	0.0	0.0	1.0
BolA	0.0	0.0	0.0	0.0	1.0
Apolipoprotein	0.0	0.0	0.0	0.0	1.0
Apc13p	0.0	0.0	0.0	0.0	1.0
Abhydrolase_1	0.0	0.0	0.0	0.0	1.0
40S_SA_C	0.0	0.0	0.0	0.0	1.0
ATP-synt_C	0.0	0.0	0.0	0.0	1.0
EF1_GNE	0.125	0.0	0.0	0.0	0.875
Ribosomal_L23eN	0.1111111111111111	0.0	0.0	0.0	0.8888888888888888
TRAPP	0.5	0.0	0.5	0.0	0.0
Spt4	0.5	0.0	0.5	0.0	0.0
Med25	0.5	0.0	0.5	0.0	0.0
Frag1	0.5	0.0	0.5	0.0	0.0
ERG4_ERG24	0.5	0.0	0.5	0.0	0.0
Dynactin_p22	0.5	0.0	0.5	0.0	0.0
COX4	0.5	0.0	0.5	0.0	0.0
Cytochrom_C1	0.5	0.0	0.5	0.0	0.0
TIMP	0.75	0.0	0.25	0.0	0.0
Ribosomal_L13	0.6666666666666666	0.0	0.3333333333333333	0.0	0.0
AhpC-TSA	0.6666666666666666	0.0	0.3333333333333333	0.0	0.0
Pkinase	0.6666666666666666	0.0	0.3333333333333333	0.0	0.0
TLE_N	0.4	0.0	0.4	0.0	0.2
Keratin_assoc	0.5	0.0	0.25	0.0	0.25
Robl_LC7	0.5	0.0	0.25	0.0	0.25
TRAP-delta	0.0	0.0	1.0	0.0	0.0
Spot_14	0.0	0.0	1.0	0.0	0.0
Reticulon	0.0	0.0	1.0	0.0	0.0
PPDFL	0.0	0.0	1.0	0.0	0.0
MHC_I	0.0	0.0	1.0	0.0	0.0
HIG_1_N	0.0	0.0	1.0	0.0	0.0
GDI	0.0	0.0	1.0	0.0	0.0
FeS_assembly_P	0.0	0.0	1.0	0.0	0.0
COX7C	0.0	0.0	1.0	0.0	0.0
EF-hand_1	0.0	0.0	1.0	0.0	0.0
Ribosomal_L28e	0.0	0.2	0.4	0.0	0.4
Kgd4-YMR31	0.0	0.0	0.6666666666666666	0.0	0.3333333333333333
Ribosomal_L6e	0.0	0.0	0.5	0.0	0.5
Ribosomal_L29e	0.0	0.0	0.5	0.0	0.5
NDUF_B8	0.0	0.0	0.5	0.0	0.5
MRAP	0.0	0.0	0.5	0.0	0.5
CXXC_Zn-b_euk	0.0	0.0	0.5	0.0	0.5
Histone	0.0	0.0	0.5	0.0	0.5
zf-CCHC	0.0	0.0	0.0	1.0	0.0
WDR55	0.0	0.0	0.0	1.0	0.0
SelO	0.0	0.0	0.0	1.0	0.0
Ribosomal_S3_C	0.0	0.0	0.0	1.0	0.0
Ribosomal_S28e	0.0	0.0	0.0	1.0	0.0
Ribosomal_S17_N	0.0	0.0	0.0	1.0	0.0
NADH_B2	0.0	0.0	0.0	1.0	0.0
IF-2B	0.0	0.0	0.0	1.0	0.0
AIG2_2	0.0	0.0	0.0	1.0	0.0
Clusterin	0.0	0.0	0.0	1.0	0.0
Esterase	0.0	0.0	0.3333333333333333	0.6666666666666666	0.0
Ribosomal_L11_N	0.0	0.0	0.3333333333333333	0.6666666666666666	0.0
NCU-G1	0.16666666666666666	0.0	0.5	0.3333333333333333	0.0
EVE	0.0	0.0	0.5	0.5	0.0
TRAP_beta	0.0	0.0	0.5	0.5	0.0
DUF5588	0.6666666666666666	0.0	0.0	0.0	0.3333333333333333
Ras	0.6666666666666666	0.0	0.0	0.0	0.3333333333333333
UBA_HYPK	0.5	0.0	0.0	0.0	0.5
Tetraspanin	0.5	0.0	0.0	0.0	0.5
Tctex-1	0.5	0.0	0.0	0.0	0.5
TBCA	0.5	0.0	0.0	0.0	0.5
SRA1	0.5	0.0	0.0	0.0	0.5
Ribosomal_S24e	0.5	0.0	0.0	0.0	0.5
Ribosomal_L32e	0.5	0.0	0.0	0.0	0.5
Ribosomal_L29	0.5	0.0	0.0	0.0	0.5
Ribosomal_L20	0.5	0.0	0.0	0.0	0.5
Ribosomal_L18A	0.5	0.0	0.0	0.0	0.5
ORMDL	0.5	0.0	0.0	0.0	0.5
Med28	0.5	0.0	0.0	0.0	0.5
Ifi-6-16	0.5	0.0	0.0	0.0	0.5
GST_C_3	0.5	0.0	0.0	0.0	0.5
Fer2	0.5	0.0	0.0	0.0	0.5
COX7a	0.5	0.0	0.0	0.0	0.5
CK_II_beta	0.5	0.0	0.0	0.0	0.5
ATG8	0.5	0.0	0.0	0.0	0.5
Arf	0.5	0.0	0.0	0.0	0.5
Ribosomal_S30	0.3333333333333333	0.0	0.0	0.0	0.6666666666666666
Globin	0.3333333333333333	0.0	0.0	0.0	0.6666666666666666
NAC	0.3333333333333333	0.0	0.0	0.0	0.6666666666666666
ARMET_N	0.16666666666666666	0.0	0.3333333333333333	0.0	0.5
Peptidase_C1	0.2	0.0	0.2	0.0	0.6
adh_short_C2	0.0	0.0	0.0	0.3333333333333333	0.6666666666666666
SGS	0.0	0.0	0.0	0.3333333333333333	0.6666666666666666
Band_7	0.0	0.0	0.0	0.3333333333333333	0.6666666666666666
Ribosomal_L2_C	0.0	0.0	0.0	0.3333333333333333	0.6666666666666666
zf-Tim10_DDP	0.0	0.0	0.0	0.5	0.5
SPARC_Ca_bdg	0.0	0.0	0.0	0.5	0.5
Ribosomal_L21e	0.0	0.0	0.0	0.5	0.5
Ribosomal_L6e_N	0.0	0.0	0.0	0.5	0.5
RNA_pol_Rpb6	0.3333333333333333	0.0	0.0	0.3333333333333333	0.3333333333333333
CFAP68	0.3333333333333333	0.0	0.0	0.3333333333333333	0.3333333333333333
Peptidase_A22B	0.3333333333333333	0.0	0.0	0.3333333333333333	0.3333333333333333
G-alpha	0.25	0.0	0.0	0.25	0.5
Ribosomal_S19e	0.4	0.0	0.0	0.2	0.4
Pro_isomerase	0.25	0.0	0.0	0.5	0.25
LSM	0.2	0.0	0.2	0.4	0.2
PP1_inhibitor	0.25	0.0	0.25	0.25	0.25
Ribosomal_L1	0.5	0.0	0.0	0.5	0.0
HSP70	0.5	0.0	0.0	0.5	0.0
Metallophos	0.5	0.0	0.0	0.5	0.0
DUF2053	0.5	0.0	0.16666666666666666	0.16666666666666666	0.16666666666666666
Proteasome	0.5	0.0	0.16666666666666666	0.16666666666666666	0.16666666666666666
Ribonuclease_T2	0.7142857142857143	0.0	0.0	0.14285714285714285	0.14285714285714285
UQ_con	0.5	0.0	0.0	0.25	0.25
WD40_Prp19	0.6	0.0	0.0	0.2	0.2
